customer_number,Recency,Frequency,Monetary,label
2450,0,81,1143.92,Loyal Customers
2451,4,43,492.34,Potential Loyal Customers
2452,0,129,468.2,Loyal Customers
2466,3,27,656.2,Potential Loyal Customers
2469,0,108,1032.12,Loyal Customers
2470,6,56,595.75,Potential Loyal Customers
2473,0,27,804.05,Potential Loyal Customers
2476,0,115,1024.67,Loyal Customers
2498,0,48,755.38,Potential Loyal Customers
2499,48,19,434.47,Promising Customers
2500,0,59,2177.42,Champions
2501,2,38,512.9,Potential Loyal Customers
2503,1,173,602.79,Loyal Customers
2511,1,49,1396.94,Champions
2514,1,58,636.13,Potential Loyal Customers
2519,4,36,320.83,Potential Loyal Customers
2522,10,20,215.97,Potential Loyal Customers
2532,22,46,614.89,Potential Loyal Customers
2539,7,33,267.85,Potential Loyal Customers
2559,4,62,977.11,Loyal Customers
2566,3,28,245.29,Potential Loyal Customers
2568,0,61,512.52,Potential Loyal Customers
2573,1,83,757,Loyal Customers
2575,0,172,2098.24,At Risk
2581,0,27,388.09,Potential Loyal Customers
2588,0,127,1264.34,Loyal Customers
2590,1,37,248.28,Potential Loyal Customers
2600,1,61,414.54,Potential Loyal Customers
2603,0,63,737.04,Potential Loyal Customers
2604,2,17,398.67,Potential Loyal Customers
2606,1,72,623.38,Loyal Customers
2614,0,116,1224.53,Loyal Customers
2622,7,38,399.79,Potential Loyal Customers
2623,14,113,1480.53,Champions
2628,0,101,560.82,Loyal Customers
2636,6,32,528.74,Potential Loyal Customers
2638,3,28,189.22,Potential Loyal Customers
2642,0,119,791.31,Loyal Customers
2643,1,48,583.77,Potential Loyal Customers
2645,8,23,484.26,Potential Loyal Customers
2649,0,112,573.21,Loyal Customers
2653,2,64,549.26,Potential Loyal Customers
2657,0,63,451.27,Potential Loyal Customers
2660,2,75,1476.43,Champions
2662,6,43,765.63,Potential Loyal Customers
2664,2,16,291.38,Potential Loyal Customers
2667,6,29,989.26,Potential Loyal Customers
2669,16,32,278.27,Potential Loyal Customers
2671,3,36,1385.68,Champions
2678,0,90,1644.48,Champions
2684,0,155,1115.27,Loyal Customers
2692,0,166,2425.46,At Risk
2695,2,13,328.83,Potential Loyal Customers
2705,4,62,1317.94,Champions
2716,2,64,864.23,Loyal Customers
2737,2,28,427.82,Potential Loyal Customers
2744,5,49,782.16,Potential Loyal Customers
2754,0,111,500.17,Loyal Customers
2758,11,55,685.13,Potential Loyal Customers
2760,1,54,290.59,Potential Loyal Customers
2761,0,59,616.76,Potential Loyal Customers
2764,7,32,542.1,Potential Loyal Customers
2772,0,98,542.28,Loyal Customers
2777,1,93,1013.56,Loyal Customers
2780,0,25,374.95,Potential Loyal Customers
2782,1,22,297.63,Potential Loyal Customers
